date,CycleTopSignal>0.85,CycleLowSignal<-0.70,MVRV,SOPR,PuellMultiple,ReserveRisk,ConditionSum
20110702T,0,0,0,0,0,0,0
20110703T,0,0,0,0,0,0,0
20110704T,0,0,-1,0,0,0,-0.09467455621301775
20110705T,0,0,-1,0,0,0,-0.1415929203539823
20110706T,0,0,0,0,0,0,-0.1052565628720005
20110707T,0,0,0,0,0,0,-0.08138689920066439
20110708T,0,0,0,0,0,0,-0.06463522164180686
20110709T,0,0,0,0,0,0,-0.05232639707094221
20110710T,0,0,0,0.75,0,0,0.001711239590684496
20110711T,0,0,0,0.75,0,0,0.04382694921746189
20110712T,0,0,0,0,0,0,0.03671041827116822
20110713T,0,0,0,0,0,0,0.030964235781070215
20110714T,0,0,0,0,0,0,0.026265622272529956
20110715T,0,0,0,0,0,0,0.022383804011692484
20110716T,0,0,-1,0,0,0,-0.016975005802163757
20110717T,0,0,-1,0,0,0,-0.05000260217153899
20110718T,0,0,0,0,0,0,-0.043032170675868515
20110719T,0,0,0,0,-0.5,0,-0.07147416681012601
20110720T,0,0,0,-0.75,-0.5,0,-0.12964061316393144
20110721T,0,0,0,-0.75,-0.5,0,-0.17937778440495786
20110722T,0,0,0,-0.75,-0.5,0,-0.2220390265168676
20110723T,0,0,0,0,-0.5,0,-0.22572970997469746
20110724T,0,0,0,0,0,0,-0.1961416623338033
20110725T,0,0,0,0,0,0,-0.170587239626529
20110726T,0,0,0,0,0,0,-0.14847904251741753
20110727T,0,0,0,0,0,0,-0.1293242019964348
20110728T,0,0,0,0,0,0,-0.11270705601870185
20110729T,0,0,0,0,0,0,-0.09827548037338649
20110730T,0,0,0,0,-0.5,0,-0.11764406990585898
20110731T,0,0,0,0,0,0,-0.10266585072252572
20110801T,0,0,-1,0,-0.5,0,-0.15313668243272022
20110802T,0,0,-1,0,-0.5,0,-0.19710754377007952
20110803T,0,0,-1,-0.75,-0.5,0,-0.2670724882324561
20110804T,0,0,-1,0,-0.5,0,-0.2965025247935564
20110805T,0,0,-1,-0.75,-0.5,0,-0.3537240784967984
20110806T,0,0,-1,-0.75,-0.5,0,-0.4036666633569527
20110807T,0,0,-1,-0.75,-0.5,0,-0.44727008913134875
20110808T,0,0,-1,-0.75,-0.5,0,-0.48534955823624293
20110809T,0,0,-1,-0.75,-0.5,0,-0.5186129511581921
20110810T,0,0,-1,-0.75,-0.5,0,-0.547675537760438
20110811T,0,0,-1,-0.75,-0.5,0,-0.5730725374328159
20110812T,0,0,-1,-0.75,-0.5,0,-0.5952698730032955
20110813T,0,0,-1,-0.75,-0.5,0,-0.6146734014404864
20110814T,0,0,0,-0.75,-0.5,0,-0.6002988665413571
20110815T,0,0,0,0,-0.5,0,-0.5564036683425945
20110816T,0,0,0,0,-0.5,0,-0.5180206993405366
20110817T,0,0,0,0,-0.5,0,-0.4844549762958133
20110818T,0,0,0,0,-0.5,0,-0.4550997904385578
20110819T,0,0,0,0,-0.5,0.25,-0.3981302744658472
20110820T,0,0,0,0,0,0.25,-0.31701177328984864
20110821T,0,0,0,0,0,0,-0.2773415619872446
20110822T,0,0,0,0,0,0,-0.24264038847566793
20110823T,0,0,0,0,0,0,-0.2122847147502708
20110824T,0,0,0,0,0,0,-0.1857295105783119
20110825T,0,0,-1,0.75,-0.5,-0.25,-0.22503872781559267
20110826T,0,0,-1,0.75,-0.5,-0.25,-0.2594283349836586
20110827T,0,0,-1,0,-0.5,-0.25,-0.3207801520400883
20110828T,0,0,-1,0,-0.5,-0.25,-0.37445587350824544
20110829T,0,0,-1,0,-0.5,-0.25,-0.4214166807425742
20110830T,0,0,-1,0,-0.5,-0.25,-0.4625032158251118
20110831T,0,0,-1,0,-0.5,-0.25,-0.49845074086751856
20110901T,0,0,-1,0,-0.5,-0.25,-0.5299023808262708
20110902T,0,0,-1,0,-0.5,-0.25,-0.5574206944604105
20110903T,0,0,-1,0,-0.5,-0.25,-0.5814977862906303
20110904T,0,0,-1,0,-0.5,-0.25,-0.6025641448998668
20110905T,0,0,-1,0,-0.5,-0.25,-0.6209963690512589
20110906T,0,0,-1,0,-0.5,-0.25,-0.6371239223819523
20110907T,0,0,-1,0,-0.5,-0.25,-0.6512350394288239
20110908T,0,0,-1,0,-0.5,-0.25,-0.6635818900858914
20110909T,0,0,-1,0,-0.5,-0.25,-0.6743850959671539
20110910T,0,4.74284665517242,-1,-0.75,-0.5,-0.25,-0.7150900650981566
20110911T,0,5.85290397253068,-1,-0.75,-0.5,-0.25,-0.750706185040681
20110912T,0,6.09062947223846,-1,-0.75,-0.5,-0.25,-0.7818697325953731
20110913T,0,5.80252327703098,-1,-0.75,-0.5,-0.25,-0.8091374099609185
20110914T,0,5.59743261016949,-1,-0.75,-0.5,-0.25,-0.8329963009364767
20110915T,0,4.86775518468732,-1,-0.75,-0.5,-0.25,-0.8538725804004547
20110916T,0,4.83116810052601,-1,-0.75,-0.5,-0.25,-0.8721391334215086
20110917T,0,4.775285635301,-1,-0.75,-0.5,-0.25,-0.888122220692308
20110918T,0,5.23673227819988,-1,-0.75,-0.5,-0.25,-0.9021073097977622
20110919T,0,5.52037669199299,-1,-0.75,-0.5,-0.25,-0.914344176819627
20110920T,0,6.14666555172414,-1,-0.75,-0.5,-0.25,-0.9250513696624568
20110921T,0,5.59706749795441,-1,-0.75,-0.5,-0.25,-0.9344201130212473
20110922T,0,5.47504877673875,-1,-0.75,-0.5,-0.25,-0.9426177248892997
20110923T,0,5.56342141963764,-1,-0.75,-0.5,-0.25,-0.9497906057432044
20110924T,0,5.45788968731736,-1,-0.75,-0.5,-0.25,-0.9560668538811048
20110925T,0,5.34115488135593,-1,-0.75,-0.5,-0.25,-0.961558553691636
20110926T,0,4.87382608123904,-1,-0.75,-0.5,-0.25,-0.9663637777728402
20110927T,0,4.91115779251899,-1,-0.75,-0.5,-0.25,-0.970568338697097
20110928T,0,4.76341532144945,-1,-0.75,-0.5,-0.25,-0.9742473217372067
20110929T,0,4.77766097837522,-1,-0.75,-0.5,-0.25,-0.9774664259494746
20110930T,0,5.14368590999416,-1,-0.75,-0.5,-0.25,-0.9802831375814149
20111001T,0,5.03407054471069,-1,-0.75,-0.5,-0.25,-0.9827477567728721
20111002T,0,5.00706259672706,-1,-0.75,-0.5,-0.25,-0.9849042958960581
20111003T,0,5.02284486031561,-1,-0.75,-0.5,-0.25,-0.9867912655851366
20111004T,0,4.95680562068966,-1,-0.75,-0.5,-0.25,-0.9884423624983679
20111005T,0,4.88506713091759,-1,-0.75,-0.5,-0.25,-0.9898870710994639
20111006T,0,4.73016629573349,-1,-0.75,-0.5,-0.25,-0.9911511902082195
20111007T,0,4.27603575686733,-1,-0.75,-0.5,-0.25,-0.9922572937261475
20111008T,0,3.98125299415546,-1,-0.75,-0.5,-0.25,-0.9932251337666876
20111009T,0,4.11163464348334,-1,-0.75,-0.5,-0.25,-0.9940719933905249
20111010T,0,4.07496248392753,-1,-0.75,-0.5,-0.25,-0.9948129952462242
20111011T,0,4.00892449590883,-1,-0.75,-0.5,-0.25,-0.9954613716286683
20111012T,0,4.16623534248977,-1,-0.75,-0.5,-0.25,-0.9960287007785671
20111013T,0,4.03698109000584,-1,-0.75,-0.5,-0.25,-0.9965251136432872
20111014T,0,3.98628088544711,-1,-0.75,-0.5,-0.25,-0.9969594747916264
20111015T,0,3.83733856049094,-1,-0.75,-0.5,-0.25,-0.9973395407135129
20111016T,0,3.60974171654003,-1,-0.75,-0.5,-0.25,-0.9976720983316855
20111017T,0,2.58124672180012,-1,-0.75,-0.5,-0.25,-0.997963086198986
20111018T,0,2.42227473816482,-1,-0.75,-0.5,-0.25,-0.9982177005456643
20111019T,0,2.21725471303331,-1,-0.75,-0.5,-0.25,-0.9984404880705192
20111020T,0,2.35612350847458,-1,-0.75,-0.5,-0.25,-0.9986354271329556
20111021T,0,2.57009230508475,-1,-0.75,-0.5,-0.25,-0.9988059987958879
20111022T,0,3.15548613851549,-1,-0.75,-0.5,-0.25,-0.9989552489881681
20111023T,0,3.14775092986558,-1,-0.75,-0.5,-0.25,-0.9990858428966244
20111024T,0,2.52293599766219,-1,-0.75,-0.5,-0.25,-0.999200112559029
20111025T,0,2.80192383109293,-1,-0.75,-0.5,-0.25,-0.9993000985078948
20111026T,0,2.7775052390415,-1,-0.75,-0.5,-0.25,-0.9993875862087591
20111027T,0,3.04540782758621,-1,-0.75,-0.5,-0.25,-0.999464137943652
20111028T,0,3.17963943658679,-1,-0.75,-0.5,-0.25,-0.9995311207091079
20111029T,0,3.56918896873174,-1,-0.75,-0.5,-0.25,-0.9995897306269101
20111030T,0,3.25740372296902,-1,-0.75,-0.5,-0.25,-0.9996410143034775
20111031T,0,3.26509821274109,-1,-0.75,-0.5,-0.25,-0.9996858875193183
20111101T,0,3.17100774284044,-1,-0.75,-0.5,-0.25,-0.999725151582294
20111102T,0,3.2558005666277,-1,-0.75,-0.5,-0.25,-0.9997595076367204
20111103T,0,3.16831638515488,-1,-0.75,-0.5,-0.25,-0.9997895691838248
20111104T,0,3.12011817182934,-1,-0.75,-0.5,-0.25,-0.9998158730371439
20111105T,0,2.97781759789597,-1,-0.75,-0.5,-0.25,-0.9998388889084941
20111106T,0,2.96272057685564,-1,-0.75,-0.5,-0.25,-0.9998590277956928
20111107T,0,3.01775768731736,-1,-0.75,-0.5,-0.25,-0.9998766493218134
20111108T,0,3.05656711104617,-1,-0.75,-0.5,-0.25,-0.9998920681570325
20111109T,0,2.9195672238457,-1,-0.75,-0.5,-0.25,-0.9999055596377447
20111110T,0,2.85670208533022,-1,-0.75,-0.5,-0.25,-0.999917364683288
20111111T,0,3.06786173348919,-1,-0.75,-0.5,-0.25,-0.999927694098077
20111112T,0,3.02552299590883,-1,-0.75,-0.5,-0.25,-0.9999367323359706
20111113T,0,2.98637330333139,-1,-0.75,-0.5,-0.25,-0.9999446407940915
20111114T,0,2.22422446434833,-1,-0.75,-0.5,-0.25,-0.9999515606949199
20111115T,0,2.3223841157218,-1,-0.75,-0.5,-0.25,-0.9999576156081237
20111116T,0,2.54678093074226,-1,-0.75,-0.5,-0.25,-0.9999629136571608
20111117T,0,2.27909583576856,-1,-0.75,-0.5,-0.25,-0.999967549450056
